EVENT_ID;ORN_ROAD_NET_ELEMENT_ID;AT_MEASURE;UNDERPASS_TYPE;AGENCY_NAME;EFFECTIVE_DATETIME;SYSTEM_DATETIME;OBJECTID
6241244;1500338513;504.250;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190814;20210731081808;500369
6241578;1500693728;419.166;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190814;20210731081808;500385
6241887;1500583960;290.286;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190813;20210731081808;500401
6244157;1510307327;492.990;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190814;20210731081808;500433
6244184;4054900;420.435;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190813;20210731081808;500449
6244186;4054900;452.428;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190814;20210731081808;500465
6244187;4054900;319.126;Rail;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620181118;20210731081808;500481
6244236;1510307299;1583.681;Rail;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620181118;20210731081808;500497
6244237;1500586537;1036.154;Rail;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620181118;20210731081808;500513
6244247;3561948;609.182;Rail;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620181117;20210731081808;500529
6244248;3562012;605.640;Rail;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620181118;20210731081808;500545
6244288;4045966;433.870;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190813;20210731081808;500577
6244706;1500446788;493.024;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190814;20210731081808;500593
6244744;1500413731;321.425;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190813;20210731081808;500657
6244980;1500364379;235.147;Rail;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620181118;20210731081808;500689
6244983;1500629649;206.366;Rail;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620181118;20210731081808;500705
6245007;1500545224;136.596;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190813;20210731081808;500721
10284;1500318848;469.611;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190814;20210731081808;500753
10336;1500330462;584.994;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190815;20210731081808;500785
323;1509823514;72.092;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190652;20210804133425;554177
5431;1500353663;262.712;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190643;20210804133425;554193
6833;1500463567;221.243;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20160620190935;20220105162425;569825
11872;1500412938;1508.000;Road;MINISTRY OF NORTHERN DEVELOPMENT, MINES, NATURAL RESOURCES AND FORESTRY;20190524132952;20220105162425;569841
7664791;7664666;533.500;Road;ONTARIO ROAD NETWORK;20211026120455;20220105162425;569857
